ID#Name
1000#Royal castle 1 slave soldier, crescent grass
1001#Royal castle 1 slave soldier, crescent grass
1002#Royal Castle 1 slave soldier, flame pot
1003#Royal Castle 2 Slave Soldiers, Soldier Lothos
1004#Royal Castle 1 slave soldier, long sword
1005#Royal castle 1 slave soldier, club
1006#Royal castle 1 slave soldier, short spear
1007#Royal castle 1 slave soldier, light crossbow
1008#Royal Castle 1 Slave Soldier, Wood Shield
1009#Royal castle 1 slave soldier, soldier's shield
1010#Royal castle 1 slave soldier, slave shield
1011#Royal Castle 1 Slave Soldier, Woodbolt
1012#Royal castle 1 slave soldier, platehelm
1013#Royal castle 1 slave soldier, coat of plate
1014#Royal castle 1 slave soldier, plate gauntlet
1015#Ojo 1 slave soldier, plate leggings
1050#Royal Castle 2 Slave Soldier, Lunar Grass
1051#Royal castle 2 slave soldier, rosin
1052#Royal castle 2 slave soldier, broadsword
1053#Royal Castle 2 Slave Soldier, Claymore
1054#Royal castle 2 slave soldier, bolt
1100#Royal castle 3 slave soldier, full moon grass
1101#Royal Castle 3 Slave Soldier, Throwing Knife
1102#Royal Castle 3 Slave Soldier, Sword of Boletaria
1103#Royal Castle 3 Slave Soldiers, Crescent Ax
1104#Royal Castle 3 Slave Soldiers, Shield of Boletaria
1105#Royal Castle 3 Slave Soldier, Heavy Volt
1150#Royal Castle 3 Slave soldier, Shibazome's helmet
1151#Royal Castle 3 Slave soldier, Shibazome armor
1152#Royal Castle 3 Slave Soldier, Shibazome Gauntlet
1153#Royal Castle 3 Slave Soldiers, Shibazome Foot Armor
1154#Royal Castle 3 slave soldier, large shield of Shibazome
2000#Old Fort 1 Burglar, half moon grass
2001#Old Fort 1 Grave Robber, Late Moon Grass
2002#Old Fort 1 Grave Robber, Fresh Perfume
2003#Old Fort 1 Grave Looters, Remnants of Seoul
2004#Old Fort 1 Digger, demon tallow
2005#Old fort 1 robber, thin cloud stone fragment
2006#Old Fort 1 Grave Robber, Scimitar
2007#Old Fort 1 Grave Robber, Falchion
2008#Old Fort 1 Digger, Shortbow
2009#Old Fort 1 Burglar, Longbow
2010#Old Fort 1 Grave Robber, Leather Shield
2011#Old Fort 1 Grave Robber, Arrow
2012#Old Fort 1 Digger, Wood Arrow
2013#Old Fort 1 Grave Robber, Leather Cap
2014#Old Fort 1 Digger, Leather Armor
2015#Old Fort 1 Grave Robber, Leather Greaves
2016#Old Fort 1 Grave Robber, Leather Boots
2050#Old Fort 2 Grave Robber, Kunai
2051#Old Fort 2 Grave Robber, Moonstone Fragment
2052#Old Fort 2 Digger, Flight Arrow
2053#Old Fort 2 Digger, Fire Arrow
2054#Old Fort 2 Grave Robber, Higashime Arrow
3000#Prison 1 Noble lady, full moon grass
3001#Prison 1 Noble lady, fresh perfume
